Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
July Release tcs,IE 11,,,2020-09-01 08:35:28,2020-09-01 08:37:06,1m - 38.257s,FAILED
,,,,,,,
Test Cases/TestCase1_Helth care,IE 11,,,2020-09-01 08:35:29,2020-09-01 08:36:19,49.959s,PASSED
"openBrowser("""")",IE 11,,,2020-09-01 08:35:32,2020-09-01 08:35:42,10.549s,PASSED
"navigateToUrl(findTestData(""Testdata_Internal"").getValue(""URL"", 1))",IE 11,,,2020-09-01 08:35:42,2020-09-01 08:35:47,4.308s,PASSED
"setText(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/input_Username_username""), findTestData(""Testdata_Internal"").getValue(""UserName"", 1))",IE 11,,,2020-09-01 08:35:47,2020-09-01 08:35:49,2.134s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/input_Password_password""), findTestData(""Testdata_Internal"").getValue(""Password"", 1))",IE 11,,,2020-09-01 08:35:49,2020-09-01 08:35:50,1.663s,PASSED
"click(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/button_Login""))",IE 11,,,2020-09-01 08:35:50,2020-09-01 08:35:55,4.953s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",IE 11,,,2020-09-01 08:35:55,2020-09-01 08:35:58,3.161s,PASSED
"click(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospit_63901f""))",IE 11,,,2020-09-01 08:35:58,2020-09-01 08:36:00,1.639s,PASSED
"click(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""))",IE 11,,,2020-09-01 08:36:00,2020-09-01 08:36:02,2.092s,PASSED
"click(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/td_25""))",IE 11,,,2020-09-01 08:36:02,2020-09-01 08:36:05,2.626s,PASSED
"setText(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/textarea_Comment_comment""), findTestData(""Testdata_Internal"").getValue(""Comments"", 1))",IE 11,,,2020-09-01 08:36:05,2020-09-01 08:36:07,2.185s,PASSED
"click(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/button_Book Appointment""))",IE 11,,,2020-09-01 08:36:07,2020-09-01 08:36:12,5.327s,PASSED
"click(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/h2_Appointment Confirmation""))",IE 11,,,2020-09-01 08:36:12,2020-09-01 08:36:14,1.955s,PASSED
"click(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/p_Please be informed that your appointment _11813a""))",IE 11,,,2020-09-01 08:36:14,2020-09-01 08:36:16,1.840s,PASSED
closeBrowser(),IE 11,,,2020-09-01 08:36:16,2020-09-01 08:36:17,0.645s,PASSED
,,,,,,,
Test Cases/TestCase2_ecommerce,IE 11,,,2020-09-01 08:36:19,2020-09-01 08:37:06,46.639s,FAILED
"openBrowser("""")",IE 11,,,2020-09-01 08:36:20,2020-09-01 08:36:25,4.783s,PASSED
"navigateToUrl(findTestData(""Testdata_External"").getValue(""URL"", 3))",IE 11,,,2020-09-01 08:36:25,2020-09-01 08:36:28,3.060s,PASSED
"setText(findTestObject(""Object Repository/TestCase2_ecommerce/Page_ProtoCommerce/input_Name_name""), findTestData(""Testdata_External"").getValue(""UserName"", 3))",IE 11,,,2020-09-01 08:36:28,2020-09-01 08:37:03,35.308s,FAILED
Video,IE 11,,,2020-09-01 08:37:06,2020-09-01 08:37:06,0.006s,PASSED
