Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
July Release tcs,Chrome 84.0.4147.125,,,2020-08-18 23:46:56,2020-08-18 23:48:47,1m - 50.778s,PASSED
,,,,,,,
Test Cases/TestCase1_Helth care,Chrome 84.0.4147.125,,,2020-08-18 23:46:58,2020-08-18 23:48:10,1m - 12.205s,PASSED
"openBrowser("""")",Chrome 84.0.4147.125,,,2020-08-18 23:47:03,2020-08-18 23:47:40,36.452s,PASSED
"navigateToUrl(findTestData(""Testdata_Internal"").getValue(""URL"", 1))",Chrome 84.0.4147.125,,,2020-08-18 23:47:40,2020-08-18 23:47:46,6.084s,PASSED
"setText(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/input_Username_username""), findTestData(""Testdata_Internal"").getValue(""UserName"", 1))",Chrome 84.0.4147.125,,,2020-08-18 23:47:46,2020-08-18 23:47:48,2.494s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/input_Password_password""), findTestData(""Testdata_Internal"").getValue(""Password"", 1))",Chrome 84.0.4147.125,,,2020-08-18 23:47:48,2020-08-18 23:47:50,1.896s,PASSED
"click(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/button_Login""))",Chrome 84.0.4147.125,,,2020-08-18 23:47:50,2020-08-18 23:47:54,3.622s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 84.0.4147.125,,,2020-08-18 23:47:54,2020-08-18 23:47:56,2.601s,PASSED
"click(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospit_63901f""))",Chrome 84.0.4147.125,,,2020-08-18 23:47:56,2020-08-18 23:47:57,0.899s,PASSED
"click(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""))",Chrome 84.0.4147.125,,,2020-08-18 23:47:57,2020-08-18 23:47:59,1.159s,PASSED
"click(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/td_25""))",Chrome 84.0.4147.125,,,2020-08-18 23:47:59,2020-08-18 23:47:59,0.777s,PASSED
"setText(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/textarea_Comment_comment""), findTestData(""Testdata_Internal"").getValue(""Comments"", 1))",Chrome 84.0.4147.125,,,2020-08-18 23:47:59,2020-08-18 23:48:02,2.519s,PASSED
"click(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 84.0.4147.125,,,2020-08-18 23:48:02,2020-08-18 23:48:05,3.423s,PASSED
"click(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/h2_Appointment Confirmation""))",Chrome 84.0.4147.125,,,2020-08-18 23:48:05,2020-08-18 23:48:06,0.868s,PASSED
"click(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/p_Please be informed that your appointment _11813a""))",Chrome 84.0.4147.125,,,2020-08-18 23:48:06,2020-08-18 23:48:07,0.692s,PASSED
closeBrowser(),Chrome 84.0.4147.125,,,2020-08-18 23:48:07,2020-08-18 23:48:08,0.957s,PASSED
,,,,,,,
Test Cases/TestCase2_ecommerce,Chrome 84.0.4147.125,,,2020-08-18 23:48:10,2020-08-18 23:48:47,36.691s,PASSED
"openBrowser("""")",Chrome 84.0.4147.125,,,2020-08-18 23:48:12,2020-08-18 23:48:19,6.367s,PASSED
"navigateToUrl(findTestData(""Testdata_External"").getValue(""URL"", 3))",Chrome 84.0.4147.125,,,2020-08-18 23:48:19,2020-08-18 23:48:30,11.181s,PASSED
"setText(findTestObject(""Object Repository/TestCase2_ecommerce/Page_ProtoCommerce/input_Name_name""), findTestData(""Testdata_External"").getValue(""UserName"", 3))",Chrome 84.0.4147.125,,,2020-08-18 23:48:30,2020-08-18 23:48:32,2.537s,PASSED
"setText(findTestObject(""Object Repository/TestCase2_ecommerce/Page_ProtoCommerce/input_Email_email""), findTestData(""Testdata_External"").getValue(""Email"", 3))",Chrome 84.0.4147.125,,,2020-08-18 23:48:32,2020-08-18 23:48:35,2.717s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TestCase2_ecommerce/Page_ProtoCommerce/input_Password_exampleInputPassword1""), findTestData(""Testdata_External"").getValue(""Password"", 3))",Chrome 84.0.4147.125,,,2020-08-18 23:48:35,2020-08-18 23:48:36,1.186s,PASSED
"click(findTestObject(""Object Repository/TestCase2_ecommerce/Page_ProtoCommerce/input_Password_exampleCheck1""))",Chrome 84.0.4147.125,,,2020-08-18 23:48:36,2020-08-18 23:48:37,1.093s,PASSED
"click(findTestObject(""Object Repository/TestCase2_ecommerce/Page_ProtoCommerce/input_Student_inlineRadioOptions""))",Chrome 84.0.4147.125,,,2020-08-18 23:48:37,2020-08-18 23:48:38,0.612s,PASSED
"setText(findTestObject(""Object Repository/TestCase2_ecommerce/Page_ProtoCommerce/DOB""), findTestData(""Testdata_External"").getValue(""DOB"", 3))",Chrome 84.0.4147.125,,,2020-08-18 23:48:38,2020-08-18 23:48:40,2.456s,PASSED
"click(findTestObject(""Object Repository/TestCase2_ecommerce/Page_ProtoCommerce/input_Date of Birth_btn btn-success""))",Chrome 84.0.4147.125,,,2020-08-18 23:48:40,2020-08-18 23:48:42,1.409s,PASSED
"click(findTestObject(""Object Repository/TestCase2_ecommerce/Page_ProtoCommerce/div_                    Success The Form ha_13b099""))",Chrome 84.0.4147.125,,,2020-08-18 23:48:42,2020-08-18 23:48:43,1.049s,PASSED
closeBrowser(),Chrome 84.0.4147.125,,,2020-08-18 23:48:43,2020-08-18 23:48:45,1.762s,PASSED
